player_id;player_name;team_id;team_name;clubs_in_season;position;minutes;reliability;official_rating;provisional_rating;shooting;passing;creation;technique;defensive_contribution;physical_impact;profile_score;performance_score;overall_precalibrated;calibration_adjustment;overall;form;form_trend;form_label;form_reliability;matches_in_form;club_form;club_form_trend;club_form_label
39115;A. Dønnum;96;Toulouse;Toulouse;Midfielder;2697.0;high;True;False;62.7;84.0;80.0;79.7;69.8;75.8;76.7;78.9;77.6;1.7;79.3;75.1;-3.6;En baisse;Moyenne;4.0;62.7;5.3;En hausse
22170;P. Lees-Melou;106;Stade Brestois 29;Stade Brestois 29;Midfielder;1528.0;high;True;False;71.5;75.6;74.5;78.9;72.3;76.9;75.2;80.1;77.2;1.7;78.9;76.6;-2.1;Stable;Moyenne;4.0;48.8;4.0;En hausse
374058;L. Camara;91;Monaco;Monaco;Midfielder;2064.0;high;True;False;70.8;58.7;83.1;73.6;79.8;80.0;73.8;82.1;77.1;1.7;78.8;68.1;-3.0;En baisse;Moyenne;4.0;54.2;-1.3;Stable
305834;Andrey Santos;95;Strasbourg;Strasbourg;Midfielder;2857.0;high;True;False;77.8;46.5;71.5;73.0;82.4;90.7;71.6;84.8;76.9;1.7;78.6;80.5;-1.4;Stable;Élevée;5.0;44.5;-15.0;En baisse
128384;Vitinha;85;Paris Saint Germain;Paris Saint Germain;Midfielder;2035.0;high;True;False;81.5;69.5;72.0;79.0;63.4;62.0;70.7;86.2;76.9;1.7;78.6;83.9;2.1;Stable;Moyenne;3.0;60.9;15.0;En hausse
263482;Nuno Mendes;85;Paris Saint Germain;Paris Saint Germain;Defender;1676.0;high;True;False;75.0;73.9;82.8;83.3;70.5;74.9;73.6;81.3;76.7;1.7;78.4;86.8;12.0;En hausse;Moyenne;3.0;60.9;15.0;En hausse
10077;Luis Henrique;81;Marseille;Marseille;Attacker;2621.0;high;True;False;79.4;87.2;82.4;79.3;42.4;49.5;74.7;79.7;76.7;1.7;78.3;70.2;-0.8;Stable;Moyenne;4.0;75.6;5.3;En hausse
50956;C. Cásseres;96;Toulouse;Toulouse;Midfielder;2705.0;high;True;False;59.0;71.2;72.9;80.9;83.3;84.9;76.1;77.3;76.6;1.6;78.2;73.4;5.6;En hausse;Élevée;5.0;62.7;5.3;En hausse
22264;L. Ajorque;106;Stade Brestois 29;Stade Brestois 29;Attacker;2504.0;high;True;False;86.7;78.7;68.8;60.3;57.2;70.7;75.4;78.3;76.6;1.6;78.2;70.9;0.2;Stable;Élevée;5.0;48.8;4.0;En hausse
162465;M. Bard;84;Nice;Nice;Defender;1941.0;high;True;False;68.0;66.3;68.9;69.7;81.1;76.6;76.4;76.6;76.5;1.6;78.1;76.7;-8.4;En baisse;Élevée;5.0;68.3;-12.0;En baisse
